epoch,loss,val_loss
0,1.7169947624206543,1.0155603885650635
1,inf,nan
2,nan,nan
3,nan,nan
4,nan,nan
5,nan,nan
6,nan,nan
7,nan,nan
8,nan,nan
0,38.505985260009766,29.533706665039062
1,29.948190689086914,33.37015914916992
2,14.567408561706543,23.890939712524414
3,7.4958648681640625,33.473060607910156
4,4.859708786010742,18.689685821533203
5,3.1134278774261475,23.758607864379883
6,2.265554666519165,28.671964645385742
7,1.7478529214859009,18.194700241088867
8,1.7169855833053589,21.59919548034668
9,1.4906349182128906,24.889802932739258
0,75.74456787109375,23.17435646057129
1,26.510435104370117,25.015871047973633
2,18.279109954833984,31.797809600830078
3,9.762495994567871,31.582658767700195
4,4.644569396972656,36.31047439575195
5,3.1530704498291016,22.771953582763672
6,2.283980131149292,21.80838394165039
7,2.034247636795044,15.777432441711426
8,1.848618507385254,26.01797866821289
9,1.5639764070510864,24.420589447021484
